URL,category,podcast
https://www.artofmanliness.com/career-wealth/career/how-to-deal-with-bad-coworkers/,career-wealth,False
https://www.artofmanliness.com/career-wealth/career/reviving-blue-collar-work-how-to-start-a-career-in-the-trades/,career-wealth,False
https://www.artofmanliness.com/career-wealth/career/how-to-quit-a-job-without-burning-bridges/,career-wealth,False
https://www.artofmanliness.com/skills/how-to/make-great-last-impression/,skills,False
https://www.artofmanliness.com/people/social-skills/be-more-memorable-how-to-better-answer-the-3-questions-you-always-get-asked-when-meeting-someone-new/,people,False
https://www.artofmanliness.com/living/entertainment/best-kids-movies-80s-90s/,living,False
https://www.artofmanliness.com/living/food-drink/how-to-make-the-best-beef-jerky-in-the-world/,living,False
https://www.artofmanliness.com/living/food-drink/5-classic-cocktails-every-man-should-know/,living,False
https://www.artofmanliness.com/lifestyle/homeownership/how-to-decorate-a-man-room/,lifestyle,False
https://www.artofmanliness.com/character/advice/podcast-932-a-cure-for-existential-boredom/,character,True
https://www.artofmanliness.com/character/behavior/podcast-214-how-to-have-a-good-day-every-day/,character,True
https://www.artofmanliness.com/character/habits/podcast-581-the-tiny-habits-that-change-everything/,character,True
https://www.artofmanliness.com/character/behavior/podcast-168-the-value-of-deep-work-in-the-age-of-distraction/,character,True
https://www.artofmanliness.com/character/advice/podcast-644-how-to-develop-greater-self-awareness/,character,True
https://www.artofmanliness.com/character/advice/podcast-592-being-a-man-in-the-lousy-modern-world/,character,True
https://www.artofmanliness.com/character/behavior/podcast-931-the-real-reason-you-procrastinate/,character,True
https://www.artofmanliness.com/character/behavior/podcast-930-break-your-bad-habits-by-escaping-the-scarcity-loop/,character,True
https://www.artofmanliness.com/character/behavior/podcast-929-can-you-trust-happiness-studies/,character,True
https://www.artofmanliness.com/career-wealth/career/podcast-927-beyond-lazy-learning-the-keys-to-gaining-and-retaining-knowledge/,career-wealth,True
https://www.artofmanliness.com/character/manly-lessons/podcast-926-the-5-shifts-of-manhood/,character,True
https://www.artofmanliness.com/character/manly-lessons/podcast-925-when-the-game-was-war-lessons-from-the-greatest-nba-season-of-all-time/,character,True
https://www.artofmanliness.com/character/advice/podcast-924-how-to-develop-rugged-flexibility/,character,True
https://www.artofmanliness.com/character/advice/podcast-753-take-back-the-weekend/,character,True
https://www.artofmanliness.com/career-wealth/leadership/podcast-923-leadership-is-overrated/,career-wealth,True
https://www.artofmanliness.com/living/reading/podcast-922-for-whom-the-bell-tolls/,living,True
https://www.artofmanliness.com/character/advice/podcast-921-brazilian-jiu-jitsu/,character,True
https://www.artofmanliness.com/character/behavior/podcast-918-unlock-the-power-of-the-unfocused-mind/,character,True
https://www.artofmanliness.com/character/advice/the-life-were-looking-for-podcast/,character,True
https://www.artofmanliness.com/style/outfit-guide/a-mans-guide-to-smart-casual/,style,False
https://www.artofmanliness.com/style/hair/what-to-do-about-dandruff/,style,False
https://www.artofmanliness.com/style/shoes/how-to-lace-dress-shoes/,style,False
https://www.artofmanliness.com/style/hair/a-guide-to-barbershop-etiquette/,style,False
https://www.artofmanliness.com/style/shaving/the-case-for-shaving-at-night/,style,False
https://www.artofmanliness.com/style/clothing/how-to-protect-your-clothing-from-moths/,style,False
https://www.artofmanliness.com/style/hair/it-will-put-hair-chest/,style,False
https://www.artofmanliness.com/style/clothing/how-to-wear-corduroy/,style,False
https://www.artofmanliness.com/style/hair/what-happened-to-the-pocket-comb/,style,False
https://www.artofmanliness.com/style/hair/a-dudes-guide-to-hair-conditioner/,style,False
https://www.artofmanliness.com/style/clothing/how-to-wear-a-polo-shirt/,style,False
https://www.artofmanliness.com/style/clothing/the-sometimes-always-never-3-button-rule/,style,False
https://www.artofmanliness.com/style/clothing/the-camp-collar-shirt/,style,False
https://www.artofmanliness.com/style/clothing/how-to-fold-a-suit-for-packing/,style,False
https://www.artofmanliness.com/style/clothing/how-to-wear-a-turtleneck-without-looking-like-a-dweeb/,style,False
https://www.artofmanliness.com/style/clothing/the-minimal-wardrobe-how-to-choose-a-swiss-army-overcoat/,style,False
https://www.artofmanliness.com/style/clothing/suit-sport-jacket-blazer-difference/,style,False
https://www.artofmanliness.com/style/clothing/the-complete-guide-on-how-to-roll-up-your-shirt-sleeves/,style,False
https://www.artofmanliness.com/style/clothing/how-tuck-in-shirt/,style,False
https://www.artofmanliness.com/style/clothing/how-many-times-you-can-wear-your-clothes-between-washes/,style,False
https://www.artofmanliness.com/style/clothing/the-fall-jacket-a-recommendation/,style,False
https://www.artofmanliness.com/style/clothing/the-best-damn-guide-to-mens-t-shirts-on-the-internet/,style,False
https://www.artofmanliness.com/style/clothing/how-a-mens-dress-shirt-should-fit/,style,False
https://www.artofmanliness.com/style/accessories/the-colognes-of-famous-men/,style,False
https://www.artofmanliness.com/style/accessories/matching-your-watch-with-your-clothes/,style,False
https://www.artofmanliness.com/style/accessories/how-to-match-belt-with-clothes/,style,False
https://www.artofmanliness.com/style/accessories/complete-guide-mens-belts/,style,False
https://www.artofmanliness.com/style/accessories/affordable-alternatives-classic-luxury-watches/,style,False
https://www.artofmanliness.com/style/accessories/mans-guide-wristwatches-choose-watch/,style,False
https://www.artofmanliness.com/style/accessories/mans-guide-wristwatches-history-wear-one/,style,False
https://www.artofmanliness.com/style/accessories/the-always-sometimes-never-sunglass-matrix-an-illustrated-guide/,style,False
https://www.artofmanliness.com/style/accessories/how-to-rock-a-pocket-square-an-illustrated-guide/,style,False
https://www.artofmanliness.com/style/accessories/how-to-pick-aviator-shades/,style,False
https://www.artofmanliness.com/style/accessories/how-to-take-care-of-a-hat/,style,False
https://www.artofmanliness.com/style/accessories/how-to-pick-the-perfect-pair-of-sunglasses-video/,style,False
https://www.artofmanliness.com/style/accessories/say-no-to-body-spray/,style,False
https://www.artofmanliness.com/style/accessories/mans-guide-wearing-jewelry/,style,False
https://www.artofmanliness.com/style/facial-hair/how-to-grow-a-mustache/,style,False
https://www.artofmanliness.com/style/facial-hair/how-to-trim-your-mustache/,style,False
https://www.artofmanliness.com/style/facial-hair/how-to-grow-a-handlebar-mustache/,style,False
https://www.artofmanliness.com/style/facial-hair/podcast-311-meaning-beards/,style,True
